Barrio,Valor m2 (USD)
Agronomía,1801
Almagro,1919
Balvanera,1536
Barracas,1803
Belgrano,2649
Boedo,1695
Caballito,2240
Chacarita,1948
Colegiales,2049
Coghlan,1837
Constitución,1531
Flores,1648
Floresta,1568
La Boca,1373
Liniers,1697
Mataderos,1598
Monte Castro,1635
Monserrat,2121
Nueva Pompeya,1222
Núñez,2648
Palermo,3095
Parque Avellaneda,1343
Parque Chacabuco,1521
Parque Chas,1678
Parque Patricios,1672
La Paternal,1698
Puerto Madero,4923
Recoleta,2689
Retiro,1838
Saavedra,2566
San Cristóbal,1787
San Nicolás,1785
San Telmo,1945
Versalles,1473
Villa Crespo,2174
Villa Devoto,2385
Lugano,1139
Villa Luro,1574
Villa Ortúzar,1783
Villa Pueyrredón,1602
Villa Riachuelo,998
Villa Santa Rita,1637
Villa Soldati,944
Villa Urquiza,2361
Villa Real,1519
